_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2020-01,277625,436429,275547.0,156439,309665.0,275091,220273,81.1,80.6,80.7,84.4,84.1,80.9,80.2,1.4,0.2,1.5,0.0,0.9,2.9,3.2,-0.3,-0.2,-0.3,-0.6,0.6,-0.3,-0.1,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,419.0,388.0,31.0,194.0,211.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2020-02,278798,438265,276585.0,156738,314450.0,276109,221631,81.5,80.9,81.0,84.5,85.4,81.2,80.7,0.6,-0.4,0.7,-1.0,-0.7,1.7,2.3,0.4,0.4,0.4,0.2,1.5,0.4,0.6,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,440.0,411.0,29.0,197.0,233.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2020-03,276400,434844,273937.0,155043,316699.0,273822,219715,80.8,80.3,80.2,83.6,86.0,80.5,80.0,-0.1,-0.6,-0.1,-1.5,-0.4,0.5,0.9,-0.9,-0.8,-1.0,-1.1,0.7,-0.8,-0.9,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,451.0,417.0,34.0,199.0,237.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2020-04,281087,443005,278467.0,156780,323411.0,278396,223694,82.1,81.8,81.5,84.6,87.9,81.9,81.4,1.3,1.4,1.3,-0.5,1.2,1.6,1.9,1.7,1.9,1.7,1.1,2.1,1.7,1.8,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,171.0,155.0,16.0,77.0,90.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2020-05,278791,438814,275813.0,155786,325067.0,276569,221768,81.5,81.0,80.8,84.0,88.3,81.3,80.7,1.9,2.1,1.7,0.4,4.3,2.3,2.2,-0.8,-0.9,-1.0,-0.6,0.5,-0.7,-0.9,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,239.0,215.0,24.0,96.0,133.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2020-06,279644,439904,276966.0,156041,322626.0,277601,222748,81.7,81.2,81.1,84.2,87.7,81.7,81.1,2.4,2.7,2.3,0.7,4.7,2.9,2.7,0.3,0.2,0.4,0.2,-0.8,0.4,0.4,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,392.0,363.0,29.0,162.0,221.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2020-07,276977,435299,274638.0,155209,315950.0,274847,220400,80.9,80.4,80.4,83.7,85.8,80.8,80.2,1.4,1.7,1.4,-0.1,2.1,1.9,1.6,-1.0,-1.0,-0.8,-0.5,-2.1,-1.0,-1.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,442.0,408.0,34.0,200.0,233.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2020-08,276239,434887,274168.0,153669,312111.0,274240,220200,80.7,80.3,80.3,82.9,84.8,80.7,80.2,1.3,1.5,1.4,-0.5,1.3,1.9,1.7,-0.3,-0.1,-0.2,-1.0,-1.2,-0.2,-0.1,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,526.0,486.0,40.0,219.0,299.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2020-09,279243,440766,277000.0,154402,317147.0,277199,222559,81.6,81.4,81.1,83.3,86.2,81.5,81.0,1.7,2.2,1.8,-0.7,1.4,2.4,1.9,1.1,1.4,1.0,0.5,1.6,1.1,1.1,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,563.0,508.0,55.0,243.0,304.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2020-10,281364,445660,279382.0,154536,316485.0,278946,224215,82.2,82.3,81.8,83.4,86.0,82.0,81.6,2.3,3.2,2.5,-0.6,1.6,2.6,2.6,0.8,1.1,0.9,0.1,-0.2,0.6,0.7,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,716.0,689.0,27.0,323.0,382.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2020-11,290436,460564,288796.0,159702,322224.0,287062,231410,84.9,85.0,84.6,86.1,87.5,84.4,84.3,4.6,5.6,4.8,1.6,3.5,4.5,5.1,3.2,3.3,3.4,3.3,1.8,2.9,3.2,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,692.0,652.0,40.0,322.0,360.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2020-12,293920,466194,292524.0,161563,323198.0,290050,234460,85.9,86.1,85.7,87.2,87.8,85.3,85.4,5.6,6.6,5.8,2.7,5.0,5.2,6.3,1.2,1.2,1.3,1.2,0.3,1.0,1.3,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,838.0,786.0,52.0,398.0,419.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2021-01,295819,466720,294693.0,164250,322281.0,291885,236492,86.5,86.2,86.3,88.6,87.6,85.9,86.1,6.6,6.9,6.9,5.0,4.1,6.1,7.4,0.6,0.1,0.7,1.7,-0.3,0.6,0.9,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,634.0,580.0,54.0,285.0,348.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2021-02,293274,460133,292196.0,164435,319261.0,289425,235065,85.7,85.0,85.6,88.7,86.7,85.1,85.6,5.2,5.0,5.6,4.9,1.5,4.8,6.1,-0.9,-1.4,-0.8,0.1,-0.9,-0.8,-0.6,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,820.0,738.0,82.0,411.0,409.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2021-03,295014,459855,293919.0,167593,321614.0,291041,237016,86.2,84.9,86.1,90.4,87.4,85.6,86.3,6.7,5.8,7.3,8.1,1.6,6.3,7.9,0.6,-0.1,0.6,1.9,0.7,0.6,0.8,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,1165.0,1071.0,94.0,581.0,582.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2021-04,294921,459598,293531.0,167580,325295.0,290697,237177,86.2,84.9,85.9,90.4,88.4,85.5,86.4,4.9,3.7,5.4,6.9,0.6,4.4,6.0,0.0,-0.1,-0.1,0.0,1.1,-0.1,0.1,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,755.0,697.0,58.0,374.0,378.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2021-05,293497,457737,292074.0,166539,324237.0,289132,236032,85.8,84.5,85.5,89.8,88.1,85.0,85.9,5.3,4.3,5.9,6.9,-0.3,4.5,6.4,-0.5,-0.4,-0.5,-0.6,-0.3,-0.5,-0.5,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,535.0,483.0,52.0,254.0,279.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2021-06,298201,464633,297138.0,169119,324624.0,293269,240646,87.1,85.8,87.0,91.2,88.2,86.3,87.6,6.6,5.6,7.3,8.4,0.6,5.6,8.0,1.6,1.5,1.7,1.5,0.1,1.4,2.0,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,1451.0,1348.0,103.0,730.0,718.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2021-07,294727,459177,293601.0,166985,321838.0,290350,237708,86.1,84.8,86.0,90.1,87.4,85.4,86.5,6.4,5.5,6.9,7.6,1.9,5.6,7.9,-1.2,-1.2,-1.2,-1.3,-0.9,-1.0,-1.2,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,337.0,310.0,27.0,154.0,182.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2021-08,301509,471240,300603.0,169652,326159.0,297518,242630,88.1,87.0,88.0,91.5,88.6,87.5,88.3,9.1,8.4,9.6,10.4,4.5,8.5,10.2,2.3,2.6,2.4,1.6,1.3,2.5,2.1,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,491.0,467.0,24.0,248.0,243.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2021-09,303448,475393,302487.0,169881,328846.0,300070,243547,88.7,87.8,88.6,91.6,89.3,88.3,88.7,8.7,7.9,9.2,10.0,3.7,8.3,9.4,0.6,0.9,0.6,0.1,0.8,0.9,0.4,2021-09,1,2021-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,1201.0,1115.0,86.0,603.0,593.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2021-10,311081,490725,310606.0,172785,330612.0,306899,248436,90.9,90.6,90.9,93.2,89.8,90.3,90.5,10.6,10.1,11.2,11.8,4.5,10.0,10.8,2.5,3.2,2.7,1.7,0.5,2.3,2.0,2021-10,1,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,343.0,318.0,25.0,144.0,198.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2021-11,315665,498693,315067.0,175067,336917.0,311332,251746,92.3,92.1,92.3,94.4,91.5,91.6,91.7,8.7,8.3,9.1,9.6,4.6,8.5,8.8,1.5,1.6,1.4,1.3,1.9,1.4,1.3,2021-11,1,2021-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,559.0,497.0,62.0,270.0,289.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2021-12,315029,500291,314601.0,173526,334189.0,310272,250315,92.1,92.4,92.1,93.6,90.8,91.3,91.1,7.2,7.3,7.5,7.4,3.4,7.0,6.8,-0.2,0.3,-0.1,-0.9,-0.8,-0.3,-0.6,2021-12,1,2021-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,590.0,519.0,71.0,272.0,313.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2022-01,321064,508779,320643.0,176564,340396.0,317073,255802,93.8,93.9,93.9,95.2,92.5,93.3,93.1,8.5,9.0,8.8,7.5,5.6,8.6,8.2,1.9,1.7,1.9,1.8,1.9,2.2,2.2,2022-01,1,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,464.0,430.0,34.0,245.0,218.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2022-02,324440,513467,324020.0,178900,345990.0,320479,258609,94.8,94.8,94.9,96.5,94.0,94.3,94.2,10.6,11.6,10.9,8.8,8.4,10.7,10.0,1.1,0.9,1.1,1.3,1.6,1.1,1.1,2022-02,1,2022-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,521.0,488.0,33.0,245.0,273.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2022-03,327807,518598,327117.0,180507,354333.0,324627,261176,95.8,95.7,95.8,97.4,96.3,95.5,95.1,11.1,12.8,11.3,7.7,10.2,11.5,10.2,1.0,1.0,1.0,0.9,2.4,1.3,1.0,2022-03,1,2022-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,607.0,552.0,55.0,276.0,328.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2022-04,332344,525140,331612.0,183026,360080.0,328792,265611,97.1,97.0,97.1,98.7,97.8,96.7,96.7,12.7,14.3,13.0,9.2,10.7,13.1,12.0,1.4,1.3,1.4,1.4,1.6,1.3,1.7,2022-04,1,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,504.0,449.0,55.0,242.0,261.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2022-05,334835,529088,334238.0,183463,359047.0,331633,268292,97.9,97.7,97.9,99.0,97.5,97.5,97.7,14.1,15.6,14.4,10.2,10.7,14.7,13.7,0.7,0.8,0.8,0.2,-0.3,0.9,1.0,2022-05,1,2022-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,540.0,498.0,42.0,280.0,256.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2022-06,337512,531987,337011.0,185482,359275.0,334153,271305,98.6,98.2,98.7,100.1,97.6,98.3,98.8,13.2,14.5,13.4,9.7,10.7,13.9,12.7,0.8,0.5,0.8,1.1,0.1,0.8,1.1,2022-06,1,2022-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,554.0,489.0,65.0,240.0,309.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2022-07,339496,534631,339016.0,186192,360738.0,336937,273260,99.2,98.7,99.3,100.4,98.0,99.1,99.5,15.2,16.4,15.5,11.5,12.1,16.0,15.0,0.6,0.5,0.6,0.4,0.4,0.8,0.7,2022-07,1,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,612.0,575.0,37.0,284.0,324.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2022-08,344688,542861,344230.0,188444,365482.0,342128,277971,100.7,100.2,100.8,101.7,99.3,100.6,101.2,14.3,15.2,14.5,11.1,12.1,15.0,14.6,1.5,1.5,1.5,1.2,1.3,1.5,1.7,2022-08,1,2022-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,688.0,607.0,81.0,320.0,351.0
http://landregistry.data.gov.uk/data/ukhpi/region/dorset/month/2022-09,349949,552336,349545.0,189908,369501.0,347655,282259,102.3,102.0,102.4,102.4,100.4,102.3,102.8,15.3,16.2,15.6,11.8,12.4,15.9,15.9,1.5,1.7,1.5,0.8,1.1,1.6,1.5,2022-09,1,2022-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/dorset,585.0,541.0,44.0,289.0,286.0
