_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2020-01,133173,204835,129615.0,105464,169598.0,133725,95141,82.0,79.4,82.1,88.4,80.5,82.2,83.0,3.9,4.9,3.8,2.4,4.7,3.2,4.2,0.4,0.4,0.1,1.8,2.0,0.2,0.3,2020-01,3,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,1801.0,1504.0,298.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2020-02,133173,204835,129615.0,105464,169598.0,133725,95141,82.0,79.4,82.1,88.4,80.5,82.2,83.0,3.9,4.9,3.8,2.4,4.7,3.2,4.2,0.4,0.4,0.1,1.8,2.0,0.2,0.3,2020-02,3,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,1801.0,1504.0,298.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2020-03,133173,204835,129615.0,105464,169598.0,133725,95141,82.0,79.4,82.1,88.4,80.5,82.2,83.0,3.9,4.9,3.8,2.4,4.7,3.2,4.2,0.4,0.4,0.1,1.8,2.0,0.2,0.3,2020-03,3,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,1801.0,1504.0,298.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2020-04,133286,202763,129582.0,103651,170572.0,133370,97410,82.0,78.6,82.1,86.8,81.0,82.0,84.9,2.8,1.9,2.5,-0.6,4.3,2.1,6.0,0.1,-1.0,0.0,-1.7,0.6,-0.3,2.4,2020-04,3,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,675.0,516.0,159.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2020-05,133286,202763,129582.0,103651,170572.0,133370,97410,82.0,78.6,82.1,86.8,81.0,82.0,84.9,2.8,1.9,2.5,-0.6,4.3,2.1,6.0,0.1,-1.0,0.0,-1.7,0.6,-0.3,2.4,2020-05,3,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,675.0,516.0,159.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2020-06,133286,202763,129582.0,103651,170572.0,133370,97410,82.0,78.6,82.1,86.8,81.0,82.0,84.9,2.8,1.9,2.5,-0.6,4.3,2.1,6.0,0.1,-1.0,0.0,-1.7,0.6,-0.3,2.4,2020-06,3,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,675.0,516.0,159.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2020-07,136013,209752,132668.0,107896,171545.0,136741,96670,83.7,81.3,84.1,90.4,81.4,84.0,84.3,2.8,2.9,2.6,2.8,4.1,3.2,2.1,2.0,3.4,2.4,4.1,0.6,2.5,-0.8,2020-07,3,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,1773.0,1429.0,345.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2020-08,136013,209752,132668.0,107896,171545.0,136741,96670,83.7,81.3,84.1,90.4,81.4,84.0,84.3,2.8,2.9,2.6,2.8,4.1,3.2,2.1,2.0,3.4,2.4,4.1,0.6,2.5,-0.8,2020-08,3,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,1773.0,1429.0,345.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2020-09,136013,209752,132668.0,107896,171545.0,136741,96670,83.7,81.3,84.1,90.4,81.4,84.0,84.3,2.8,2.9,2.6,2.8,4.1,3.2,2.1,2.0,3.4,2.4,4.1,0.6,2.5,-0.8,2020-09,3,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,1773.0,1429.0,345.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2020-10,139563,215288,136797.0,106916,172248.0,139623,100818,85.9,83.5,86.7,89.6,81.8,85.8,87.9,5.2,5.5,5.7,3.2,3.6,4.6,6.2,2.6,2.6,3.1,-0.9,0.4,2.1,4.3,2020-10,3,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,2829.0,2282.0,547.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2020-11,139563,215288,136797.0,106916,172248.0,139623,100818,85.9,83.5,86.7,89.6,81.8,85.8,87.9,5.2,5.5,5.7,3.2,3.6,4.6,6.2,2.6,2.6,3.1,-0.9,0.4,2.1,4.3,2020-11,3,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,2829.0,2282.0,547.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2020-12,139563,215288,136797.0,106916,172248.0,139623,100818,85.9,83.5,86.7,89.6,81.8,85.8,87.9,5.2,5.5,5.7,3.2,3.6,4.6,6.2,2.6,2.6,3.1,-0.9,0.4,2.1,4.3,2020-12,3,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,2829.0,2282.0,547.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2021-01,141087,219466,138254.0,108980,174333.0,140990,100843,86.8,85.1,87.6,91.3,82.8,86.7,87.9,5.9,7.1,6.7,3.3,2.8,5.4,6.0,1.1,1.9,1.1,1.9,1.2,1.0,0.0,2021-01,3,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,2508.0,2124.0,384.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2021-02,141087,219466,138254.0,108980,174333.0,140990,100843,86.8,85.1,87.6,91.3,82.8,86.7,87.9,5.9,7.1,6.7,3.3,2.8,5.4,6.0,1.1,1.9,1.1,1.9,1.2,1.0,0.0,2021-02,3,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,2508.0,2124.0,384.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2021-03,141087,219466,138254.0,108980,174333.0,140990,100843,86.8,85.1,87.6,91.3,82.8,86.7,87.9,5.9,7.1,6.7,3.3,2.8,5.4,6.0,1.1,1.9,1.1,1.9,1.2,1.0,0.0,2021-03,3,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,2508.0,2124.0,384.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2021-04,146044,229090,143487.0,113526,178499.0,144479,104521,89.9,88.8,90.9,95.1,84.7,88.8,91.1,9.6,13.0,10.7,9.5,4.6,8.3,7.3,3.5,4.4,3.8,4.2,2.4,2.5,3.6,2021-04,3,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,2655.0,2213.0,443.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2021-05,146044,229090,143487.0,113526,178499.0,144479,104521,89.9,88.8,90.9,95.1,84.7,88.8,91.1,9.6,13.0,10.7,9.5,4.6,8.3,7.3,3.5,4.4,3.8,4.2,2.4,2.5,3.6,2021-05,3,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,2655.0,2213.0,443.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2021-06,146044,229090,143487.0,113526,178499.0,144479,104521,89.9,88.8,90.9,95.1,84.7,88.8,91.1,9.6,13.0,10.7,9.5,4.6,8.3,7.3,3.5,4.4,3.8,4.2,2.4,2.5,3.6,2021-06,3,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,2655.0,2213.0,443.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2021-07,150563,233463,148592.0,112236,180604.0,149786,109836,92.7,90.5,94.2,94.0,85.7,92.1,95.8,10.7,11.3,12.0,4.0,5.3,9.5,13.6,3.1,1.9,3.6,-1.1,1.2,3.7,5.1,2021-07,3,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,2823.0,2373.0,450.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2021-08,150563,233463,148592.0,112236,180604.0,149786,109836,92.7,90.5,94.2,94.0,85.7,92.1,95.8,10.7,11.3,12.0,4.0,5.3,9.5,13.6,3.1,1.9,3.6,-1.1,1.2,3.7,5.1,2021-08,3,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,2823.0,2373.0,450.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2021-09,150563,233463,148592.0,112236,180604.0,149786,109836,92.7,90.5,94.2,94.0,85.7,92.1,95.8,10.7,11.3,12.0,4.0,5.3,9.5,13.6,3.1,1.9,3.6,-1.1,1.2,3.7,5.1,2021-09,3,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,2823.0,2373.0,450.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2021-10,150539,234345,147888.0,111727,184072.0,150343,108807,92.7,90.9,93.7,93.6,87.4,92.4,94.9,7.9,8.9,8.1,4.5,6.9,7.7,7.9,0.0,0.4,-0.5,-0.5,1.9,0.4,-0.9,2021-10,3,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,2262.0,1906.0,356.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2021-11,150539,234345,147888.0,111727,184072.0,150343,108807,92.7,90.9,93.7,93.6,87.4,92.4,94.9,7.9,8.9,8.1,4.5,6.9,7.7,7.9,0.0,0.4,-0.5,-0.5,1.9,0.4,-0.9,2021-11,3,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,2262.0,1906.0,356.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2021-12,150539,234345,147888.0,111727,184072.0,150343,108807,92.7,90.9,93.7,93.6,87.4,92.4,94.9,7.9,8.9,8.1,4.5,6.9,7.7,7.9,0.0,0.4,-0.5,-0.5,1.9,0.4,-0.9,2021-12,3,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,2262.0,1906.0,356.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2022-01,155086,243518,152568.0,117376,188527.0,154034,111070,95.4,94.4,96.7,98.3,89.5,94.7,96.9,9.9,11.0,10.4,7.7,8.1,9.3,10.1,3.0,3.9,3.2,5.1,2.4,2.5,2.1,2022-01,3,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,1954.0,1793.0,161.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2022-02,155086,243518,152568.0,117376,188527.0,154034,111070,95.4,94.4,96.7,98.3,89.5,94.7,96.9,9.9,11.0,10.4,7.7,8.1,9.3,10.1,3.0,3.9,3.2,5.1,2.4,2.5,2.1,2022-02,3,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,1954.0,1793.0,161.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2022-03,155086,243518,152568.0,117376,188527.0,154034,111070,95.4,94.4,96.7,98.3,89.5,94.7,96.9,9.9,11.0,10.4,7.7,8.1,9.3,10.1,3.0,3.9,3.2,5.1,2.4,2.5,2.1,2022-03,3,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,1954.0,1793.0,161.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2022-04,160214,253870,157335.0,120446,196478.0,159586,113318,98.6,98.4,99.7,100.9,93.3,98.1,98.8,9.7,10.8,9.7,6.1,10.1,10.5,8.4,3.3,4.3,3.1,2.6,4.2,3.6,2.0,2022-04,3,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,2036.0,1858.0,178.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2022-05,160214,253870,157335.0,120446,196478.0,159586,113318,98.6,98.4,99.7,100.9,93.3,98.1,98.8,9.7,10.8,9.7,6.1,10.1,10.5,8.4,3.3,4.3,3.1,2.6,4.2,3.6,2.0,2022-05,3,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,2036.0,1858.0,178.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2022-06,160214,253870,157335.0,120446,196478.0,159586,113318,98.6,98.4,99.7,100.9,93.3,98.1,98.8,9.7,10.8,9.7,6.1,10.1,10.5,8.4,3.3,4.3,3.1,2.6,4.2,3.6,2.0,2022-06,3,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,2036.0,1858.0,178.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2022-07,166363,263766,163609.0,122650,202562.0,165906,118091,102.4,102.3,103.7,102.8,96.2,102.0,103.0,10.5,13.0,10.1,9.3,12.2,10.8,7.5,3.8,3.9,4.0,1.8,3.1,4.0,4.2,2022-07,3,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,2194.0,2021.0,172.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2022-08,166363,263766,163609.0,122650,202562.0,165906,118091,102.4,102.3,103.7,102.8,96.2,102.0,103.0,10.5,13.0,10.1,9.3,12.2,10.8,7.5,3.8,3.9,4.0,1.8,3.1,4.0,4.2,2022-08,3,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,2194.0,2021.0,172.0
http://landregistry.data.gov.uk/data/ukhpi/region/northern-ireland/month/2022-09,166363,263766,163609.0,122650,202562.0,165906,118091,102.4,102.3,103.7,102.8,96.2,102.0,103.0,10.5,13.0,10.1,9.3,12.2,10.8,7.5,3.8,3.9,4.0,1.8,3.1,4.0,4.2,2022-09,3,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/northern-ireland,2194.0,2021.0,172.0
